sample_id,sample_set,country,location,year,month,latitude,longitude,sex_call,taxon,population_code,snp_genotypes_vcf,metadata_source
AB0222-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0222-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0223-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0223-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0224-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0224-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0226-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0226-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0227-Cx,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0227-Cx.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0229-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0229-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0230-Cx,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0230-Cx.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0234-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0234-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0237-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0237-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0240-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0240-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0242-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0242-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0243-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0243-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0246-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0246-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0247-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0247-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0248-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0248-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0249-Cx,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0249-Cx.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0250-Cx,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0250-Cx.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0257-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0257-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0258-Cx,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0258-Cx.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0259-Cx,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0259-Cx.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
